funcPK,equipePK,dataPK,cargoPK,salario,quantidadeLancamentos
19,2,218,223,1778.26,1
94,1,218,394,2505.1,1
26,2,218,350,9162.46,1
55,2,218,313,3215.53,1
29,1,218,62,4128.44,1
181,1,218,249,11082.75,1
118,1,218,169,1741.33,1
174,1,218,183,14734.1,1
141,1,218,63,10162.84,1
188,1,218,386,14995.02,1
112,2,218,419,4320.96,1
34,1,218,16,1633.22,1
69,1,218,68,4256.5,1
62,1,218,422,5297.77,1
190,2,218,254,4083.85,1
17,2,218,2,5161.85,1
10,2,218,395,5545.2,1
199,2,218,116,4703.6,1
76,1,218,383,4875.68,1
106,2,218,234,9611.98,1
179,1,218,12,21059.63,1
111,2,218,396,10078.44,1
43,1,218,74,10589.74,1
173,2,218,53,6579.73,1
183,2,218,240,23969.94,1
53,2,218,229,3635.55,1
42,1,218,177,12777.09,1
116,2,218,343,5859.58,1
30,2,218,408,17965.17,1
66,1,218,115,3051.27,1
35,2,218,412,1793.43,1
195,2,218,306,14363.61,1
104,2,218,36,14184.62,1
73,1,218,163,2068.1,1
48,1,218,270,14992.14,1
33,1,218,27,9169.9,1
147,2,249,64,1559.94,1
124,2,249,329,8102.77,1
175,1,249,328,2532.51,1
171,1,249,245,7882.7,1
148,2,249,65,4404.59,1
5,2,249,112,2226.66,1
128,1,249,341,6157.04,1
82,2,249,43,1585.51,1
28,1,249,253,1594.02,1
46,1,249,390,9880.16,1
91,2,249,233,10931.47,1
176,2,249,241,2005.49,1
172,1,249,351,14218.28,1
155,1,249,121,2002.57,1
19,2,249,223,1778.26,1
94,1,249,394,2505.1,1
26,2,249,350,9162.46,1
55,2,249,313,3215.53,1
29,1,249,62,4128.44,1
181,1,249,249,11082.75,1
118,1,249,169,1741.33,1
174,1,249,183,14734.1,1
141,1,249,63,10162.84,1
188,1,249,386,14995.02,1
112,2,249,419,4320.96,1
34,1,249,16,1633.22,1
69,1,249,68,4256.5,1
62,1,249,422,5297.77,1
190,2,249,254,4083.85,1
17,2,249,2,5161.85,1
10,2,249,395,5545.2,1
199,2,249,116,4703.6,1
76,1,249,383,4875.68,1
106,2,249,234,9611.98,1
179,1,249,12,21059.63,1
111,2,249,396,10078.44,1
43,1,249,74,10589.74,1
173,2,249,53,6579.73,1
183,2,249,240,23969.94,1
53,2,249,229,3635.55,1
42,1,249,177,12777.09,1
116,2,249,343,5859.58,1
30,2,249,408,17965.17,1
66,1,249,115,3051.27,1
35,2,249,412,1793.43,1
195,2,249,306,14363.61,1
104,2,249,36,14184.62,1
73,1,249,163,2068.1,1
48,1,249,270,14992.14,1
33,1,249,27,9169.9,1
147,2,279,64,1559.94,1
124,2,279,329,8102.77,1
175,1,279,328,2532.51,1
171,1,279,245,7882.7,1
148,2,279,65,4404.59,1
5,2,279,112,2226.66,1
128,1,279,341,6157.04,1
82,2,279,43,1585.51,1
28,1,279,253,1594.02,1
46,1,279,390,9880.16,1
91,2,279,233,10931.47,1
176,2,279,241,2005.49,1
172,1,279,351,14218.28,1
155,1,279,121,2002.57,1
19,2,279,223,1778.26,1
94,1,279,394,2505.1,1
26,2,279,350,9162.46,1
55,2,279,313,3215.53,1
29,1,279,62,4128.44,1
181,1,279,249,11082.75,1
118,1,279,169,1741.33,1
174,1,279,183,14734.1,1
141,1,279,63,10162.84,1
188,1,279,386,14995.02,1
112,2,279,419,4320.96,1
34,1,279,16,1633.22,1
69,1,279,68,4256.5,1
62,1,279,422,5297.77,1
190,2,279,254,4083.85,1
17,2,279,2,5161.85,1
10,2,279,395,5545.2,1
199,2,279,116,4703.6,1
76,1,279,383,4875.68,1
106,2,279,234,9611.98,1
179,1,279,12,21059.63,1
111,2,279,396,10078.44,1
43,1,279,74,10589.74,1
173,2,279,53,6579.73,1
183,2,279,240,23969.94,1
53,2,279,229,3635.55,1
42,1,279,177,12777.09,1
116,2,279,343,5859.58,1
30,2,279,408,17965.17,1
66,1,279,115,3051.27,1
35,2,279,412,1793.43,1
195,2,279,306,14363.61,1
104,2,279,36,14184.62,1
73,1,279,163,2068.1,1
48,1,279,270,14992.14,1
33,1,279,27,9169.9,1
147,2,310,64,1559.94,1
124,2,310,329,8102.77,1
175,1,310,328,2532.51,1
171,1,310,245,7882.7,1
148,2,310,65,4404.59,1
5,2,310,112,2226.66,1
128,1,310,341,6157.04,1
82,2,310,43,1585.51,1
28,1,310,253,1594.02,1
46,1,310,390,9880.16,1
91,2,310,233,10931.47,1
176,2,310,241,2005.49,1
172,1,310,351,14218.28,1
155,1,310,121,2002.57,1
19,2,310,223,1778.26,1
94,1,310,394,2505.1,1
26,2,310,350,9162.46,1
55,2,310,313,3215.53,1
29,1,310,62,4128.44,1
181,1,310,249,11082.75,1
118,1,310,169,1741.33,1
174,1,310,183,14734.1,1
141,1,310,63,10162.84,1
188,1,310,386,14995.02,1
112,2,310,419,4320.96,1
34,1,310,16,1633.22,1
69,1,310,68,4256.5,1
62,1,310,422,5297.77,1
190,2,310,254,4083.85,1
17,2,310,2,5161.85,1
10,2,310,395,5545.2,1
199,2,310,116,4703.6,1
76,1,310,383,4875.68,1
106,2,310,234,9611.98,1
179,1,310,12,21059.63,1
111,2,310,396,10078.44,1
43,1,310,74,10589.74,1
173,2,310,53,6579.73,1
183,2,310,240,23969.94,1
53,2,310,229,3635.55,1
42,1,310,177,12777.09,1
116,2,310,343,5859.58,1
30,2,310,408,17965.17,1
66,1,310,115,3051.27,1
35,2,310,412,1793.43,1
195,2,310,306,14363.61,1
104,2,310,36,14184.62,1
73,1,310,163,2068.1,1
48,1,310,270,14992.14,1
33,1,310,27,9169.9,1
147,2,340,64,1559.94,1
124,2,340,329,8102.77,1
175,1,340,328,2532.51,1
171,1,340,245,7882.7,1
148,2,340,65,4404.59,1
5,2,340,112,2226.66,1
128,1,340,341,6157.04,1
82,2,340,43,1585.51,1
28,1,340,253,1594.02,1
46,1,340,390,9880.16,1
91,2,340,233,10931.47,1
176,2,340,241,2005.49,1
172,1,340,351,14218.28,1
155,1,340,121,2002.57,1
19,2,340,223,1778.26,1
94,1,340,394,2505.1,1
26,2,340,350,9162.46,1
55,2,340,313,3215.53,1
29,1,340,62,4128.44,1
181,1,340,249,11082.75,1
118,1,340,169,1741.33,1
174,1,340,183,14734.1,1
141,1,340,63,10162.84,1
188,1,340,386,14995.02,1
112,2,340,419,4320.96,1
34,1,340,16,1633.22,1
69,1,340,68,4256.5,1
62,1,340,422,5297.77,1
190,2,340,254,4083.85,1
17,2,340,2,5161.85,1
10,2,340,395,5545.2,1
199,2,340,116,4703.6,1
76,1,340,383,4875.68,1
106,2,340,234,9611.98,1
179,1,340,12,21059.63,1
111,2,340,396,10078.44,1
43,1,340,74,10589.74,1
173,2,340,53,6579.73,1
183,2,340,240,23969.94,1
53,2,340,229,3635.55,1
42,1,340,177,12777.09,1
116,2,340,343,5859.58,1
30,2,340,408,17965.17,1
66,1,340,115,3051.27,1
35,2,340,412,1793.43,1
195,2,340,306,14363.61,1
104,2,340,36,14184.62,1
73,1,340,163,2068.1,1
48,1,340,270,14992.14,1
33,1,340,27,9169.9,1
147,2,371,64,1559.94,1
124,2,371,329,8102.77,1
175,1,371,328,2532.51,1
171,1,371,245,7882.7,1
148,2,371,65,4404.59,1
5,2,371,112,2226.66,1
128,1,371,341,6157.04,1
82,2,371,43,1585.51,1
28,1,371,253,1594.02,1
46,1,371,390,9880.16,1
91,2,371,233,10931.47,1
176,2,371,241,2005.49,1
172,1,371,351,14218.28,1
155,1,371,121,2002.57,1
19,2,371,223,1778.26,1
94,1,371,394,2505.1,1
26,2,371,350,9162.46,1
55,2,371,313,3215.53,1
29,1,371,62,4128.44,1
181,1,371,249,11082.75,1
118,1,371,169,1741.33,1
174,1,371,183,14734.1,1
141,1,371,63,10162.84,1
188,1,371,386,14995.02,1
112,2,371,419,4320.96,1
34,1,371,16,1633.22,1
69,1,371,68,4256.5,1
62,1,371,422,5297.77,1
190,2,371,254,4083.85,1
17,2,371,2,5161.85,1
10,2,371,395,5545.2,1
199,2,371,116,4703.6,1
76,1,371,383,4875.68,1
106,2,371,234,9611.98,1
179,1,371,12,21059.63,1
111,2,371,396,10078.44,1
43,1,371,74,10589.74,1
173,2,371,53,6579.73,1
183,2,371,240,23969.94,1
53,2,371,229,3635.55,1
42,1,371,177,12777.09,1
116,2,371,343,5859.58,1
30,2,371,408,17965.17,1
66,1,371,115,3051.27,1
35,2,371,412,1793.43,1
195,2,371,306,14363.61,1
104,2,371,36,14184.62,1
73,1,371,163,2068.1,1
48,1,371,270,14992.14,1
33,1,371,27,9169.9,1
135,5,371,94,1797.28,1
184,3,371,69,10199.72,1
196,3,371,125,4478.12,1
78,5,371,427,1818.43,1
20,5,371,10,1997.42,1
88,3,371,87,11291.45,1
39,3,371,52,4182.55,1
22,3,371,176,4171.08,1
79,4,371,142,2581.24,1
37,5,371,323,4496.08,1
152,3,371,380,4052.34,1
67,5,371,40,1678.4,1
192,3,371,324,19049.82,1
97,3,371,137,7795.87,1
120,5,371,303,9841.55,1
122,4,371,328,1580.93,1
74,4,371,334,1984.86,1
137,4,371,17,12079.93,1
4,5,371,3,10498.14,1
110,3,371,422,10081.19,1
160,4,371,54,12717.71,1
40,4,371,473,6637.9,1
121,3,371,181,1707.51,1
149,5,371,171,17351.46,1
90,5,371,11,8180.52,1
189,5,371,416,6686.45,1
36,3,371,13,3334.71,1
156,3,371,419,5960.95,1
11,3,371,8,6907.06,1
89,3,371,149,7338.25,1
185,3,371,146,5560.16,1
169,3,371,471,10260.88,1
15,3,371,335,4543.46,1
168,5,371,252,14688.97,1
56,4,371,414,11613.92,1
198,3,371,80,4695.24,1
59,5,371,50,5383.27,1
6,5,371,44,5171.52,1
178,4,371,330,26470.39,1
64,5,371,257,4420.97,1
146,5,371,479,8654.24,1
58,4,371,248,11131.02,1
140,3,371,417,17017.5,1
109,3,371,155,5362.41,1
151,5,371,331,2148.44,1
139,4,371,70,1901.47,1
197,5,371,254,4262.23,1
130,5,371,245,4507.96,1
2,3,371,463,1668.94,1
131,3,371,326,9628.82,1
200,5,371,318,10631.74,1
85,3,371,58,13282.6,1
119,5,371,74,6850.11,1
9,3,371,72,13083.56,1
38,5,371,139,3434.05,1
7,5,371,431,7232.49,1
65,3,371,311,4416.36,1
123,5,371,183,9786.13,1
163,4,371,77,7949.62,1
125,3,371,113,6151.17,1
147,2,402,64,1559.94,1
124,2,402,329,8102.77,1
175,1,402,328,2532.51,1
171,1,402,245,7882.7,1
148,2,402,65,4404.59,1
5,2,402,112,2226.66,1
128,1,402,341,6157.04,1
82,2,402,43,1585.51,1
28,1,402,253,1594.02,1
46,1,402,390,9880.16,1
91,2,402,233,10931.47,1
176,2,402,241,2005.49,1
172,1,402,351,14218.28,1
155,1,402,121,2002.57,1
19,2,402,223,1778.26,1
94,1,402,394,2505.1,1
26,2,402,350,9162.46,1
55,2,402,313,3215.53,1
29,1,402,62,4128.44,1
181,1,402,249,11082.75,1
118,1,402,169,1741.33,1
174,1,402,183,14734.1,1
141,1,402,63,10162.84,1
188,1,402,386,14995.02,1
112,2,402,419,4320.96,1
34,1,402,16,1633.22,1
69,1,402,68,4256.5,1
62,1,402,422,5297.77,1
190,2,402,254,4083.85,1
17,2,402,2,5161.85,1
10,2,402,395,5545.2,1
199,2,402,116,4703.6,1
76,1,402,383,4875.68,1
106,2,402,234,9611.98,1
179,1,402,12,21059.63,1
111,2,402,396,10078.44,1
43,1,402,74,10589.74,1
173,2,402,53,6579.73,1
183,2,402,240,23969.94,1
53,2,402,229,3635.55,1
42,1,402,177,12777.09,1
116,2,402,343,5859.58,1
30,2,402,408,17965.17,1
66,1,402,115,3051.27,1
35,2,402,412,1793.43,1
195,2,402,306,14363.61,1
104,2,402,36,14184.62,1
73,1,402,163,2068.1,1
48,1,402,270,14992.14,1
33,1,402,27,9169.9,1
135,5,402,94,1797.28,1
184,3,402,69,10199.72,1
196,3,402,125,4478.12,1
78,5,402,427,1818.43,1
20,5,402,10,1997.42,1
88,3,402,87,11291.45,1
39,3,402,52,4182.55,1
22,3,402,176,4171.08,1
79,4,402,142,2581.24,1
37,5,402,323,4496.08,1
152,3,402,380,4052.34,1
67,5,402,40,1678.4,1
192,3,402,324,19049.82,1
97,3,402,137,7795.87,1
120,5,402,303,9841.55,1
122,4,402,328,1580.93,1
74,4,402,334,1984.86,1
137,4,402,17,12079.93,1
4,5,402,3,10498.14,1
110,3,402,422,10081.19,1
160,4,402,54,12717.71,1
40,4,402,473,6637.9,1
121,3,402,181,1707.51,1
149,5,402,171,17351.46,1
90,5,402,11,8180.52,1
189,5,402,416,6686.45,1
36,3,402,13,3334.71,1
156,3,402,419,5960.95,1
11,3,402,8,6907.06,1
89,3,402,149,7338.25,1
185,3,402,146,5560.16,1
169,3,402,471,10260.88,1
15,3,402,335,4543.46,1
168,5,402,252,14688.97,1
56,4,402,414,11613.92,1
198,3,402,80,4695.24,1
59,5,402,50,5383.27,1
6,5,402,44,5171.52,1
178,4,402,330,26470.39,1
64,5,402,257,4420.97,1
146,5,402,479,8654.24,1
58,4,402,248,11131.02,1
140,3,402,417,17017.5,1
109,3,402,155,5362.41,1
151,5,402,331,2148.44,1
139,4,402,70,1901.47,1
197,5,402,254,4262.23,1
130,5,402,245,4507.96,1
2,3,402,463,1668.94,1
131,3,402,326,9628.82,1
200,5,402,318,10631.74,1
85,3,402,58,13282.6,1
119,5,402,74,6850.11,1
9,3,402,72,13083.56,1
38,5,402,139,3434.05,1
7,5,402,431,7232.49,1
65,3,402,311,4416.36,1
123,5,402,183,9786.13,1
163,4,402,77,7949.62,1
125,3,402,113,6151.17,1
147,2,430,64,1559.94,1
124,2,430,329,8102.77,1
175,1,430,328,2532.51,1
171,1,430,245,7882.7,1
148,2,430,65,4404.59,1
5,2,430,112,2226.66,1
128,1,430,341,6157.04,1
82,2,430,43,1585.51,1
28,1,430,253,1594.02,1
46,1,430,390,9880.16,1
91,2,430,233,10931.47,1
176,2,430,241,2005.49,1
172,1,430,351,14218.28,1
155,1,430,121,2002.57,1
19,2,430,223,1778.26,1
94,1,430,394,2505.1,1
26,2,430,350,9162.46,1
55,2,430,313,3215.53,1
29,1,430,62,4128.44,1
181,1,430,249,11082.75,1
118,1,430,169,1741.33,1
174,1,430,183,14734.1,1
141,1,430,63,10162.84,1
188,1,430,386,14995.02,1
112,2,430,419,4320.96,1
34,1,430,16,1633.22,1
69,1,430,68,4256.5,1
62,1,430,422,5297.77,1
190,2,430,254,4083.85,1
17,2,430,2,5161.85,1
10,2,430,395,5545.2,1
199,2,430,116,4703.6,1
76,1,430,383,4875.68,1
106,2,430,234,9611.98,1
179,1,430,12,21059.63,1
111,2,430,396,10078.44,1
43,1,430,74,10589.74,1
173,2,430,53,6579.73,1
183,2,430,240,23969.94,1
53,2,430,229,3635.55,1
42,1,430,177,12777.09,1
116,2,430,343,5859.58,1
30,2,430,408,17965.17,1
66,1,430,115,3051.27,1
35,2,430,412,1793.43,1
195,2,430,306,14363.61,1
104,2,430,36,14184.62,1
73,1,430,163,2068.1,1
48,1,430,270,14992.14,1
33,1,430,27,9169.9,1
135,5,430,94,1797.28,1
184,3,430,69,10199.72,1
196,3,430,125,4478.12,1
78,5,430,427,1818.43,1
20,5,430,10,1997.42,1
88,3,430,87,11291.45,1
39,3,430,52,4182.55,1
22,3,430,176,4171.08,1
79,4,430,142,2581.24,1
37,5,430,323,4496.08,1
152,3,430,380,4052.34,1
67,5,430,40,1678.4,1
192,3,430,324,19049.82,1
97,3,430,137,7795.87,1
120,5,430,303,9841.55,1
122,4,430,328,1580.93,1
74,4,430,334,1984.86,1
137,4,430,17,12079.93,1
4,5,430,3,10498.14,1
110,3,430,422,10081.19,1
160,4,430,54,12717.71,1
40,4,430,473,6637.9,1
121,3,430,181,1707.51,1
149,5,430,171,17351.46,1
90,5,430,11,8180.52,1
189,5,430,416,6686.45,1
36,3,430,13,3334.71,1
156,3,430,419,5960.95,1
11,3,430,8,6907.06,1
89,3,430,149,7338.25,1
185,3,430,146,5560.16,1
169,3,430,471,10260.88,1
15,3,430,335,4543.46,1
168,5,430,252,14688.97,1
56,4,430,414,11613.92,1
198,3,430,80,4695.24,1
59,5,430,50,5383.27,1
6,5,430,44,5171.52,1
178,4,430,330,26470.39,1
64,5,430,257,4420.97,1
146,5,430,479,8654.24,1
58,4,430,248,11131.02,1
140,3,430,417,17017.5,1
109,3,430,155,5362.41,1
151,5,430,331,2148.44,1
139,4,430,70,1901.47,1
197,5,430,254,4262.23,1
130,5,430,245,4507.96,1
2,3,430,463,1668.94,1
131,3,430,326,9628.82,1
200,5,430,318,10631.74,1
85,3,430,58,13282.6,1
119,5,430,74,6850.11,1
9,3,430,72,13083.56,1
38,5,430,139,3434.05,1
7,5,430,431,7232.49,1
65,3,430,311,4416.36,1
123,5,430,183,9786.13,1
